tf	experiment_type	dataset
CHCHD3	AFS-LYS	YWL_B_AffSeq_D11_CHCHD3
CHCHD3	HTS-GFPIVT	YWM_A_TG40NGACCTT
CPXCR1	CHS	THC_0276
CPXCR1	CHS	THC_0361.Rep-DIANA_0293
CPXCR1	CHS	THC_0361.Rep-MICHELLE_0314
CPXCR1	PBM	PBM13566
CPXCR1	PBM	PBM13567
CPXCR1	PBM	PBM13582
CPXCR1	PBM	PBM13583
CPXCR1	SMS	UT380-041
CPXCR1	HTS-IVT	YWE_A_GA40NCTGATT
CPXCR1	HTS-IVT	YWH_A_GG40NTAGTTT
CPXCR1	HTS-LYS	YWL_A_GG40NCGTAGT
CPXCR1	AFS-LYS	YWL_B_AffSeq_F1_CPXCR1
CPXCR1	HTS-GFPIVT	YWM_A_AA40NGTGGTG
CPXCR1	AFS-GFPIVT	YWM_B_AffSeq_A6_CPXCR1-FL
CREB3L3	PBM	PBM13563
CREB3L3	PBM	PBM13579
CREB3L3	HTS-IVT	YWE_A_CA40NTCGATG
CREB3L3	PBM	PBM13564
CREB3L3	PBM	PBM13580
CREB3L3	CHS	THC_0565
CREB3L3	SMS	UT380-042
CREB3L3	HTS-IVT	YWC_B_GA40NGGTCAT
CREB3L3	HTS-GFPIVT	YWM_A_AG40NCTTTTC
CREB3L3	AFS-GFPIVT	YWM_B_AffSeq_B6_CREB3L3-FL
CREB3L3	HTS-LYS	YWN_A_GG40NGGTTTA
CREB3L3	AFS-LYS	YWN_B_AffSeq_F2_CREB3L3
CREB3L3	HTS-LYS	YWO_A_GG40NGGTTTA
CREB3L3	AFS-LYS	YWO_B_AffSeq_F2_CREB3L3
CSRNP1	PBM	PBM13595
CSRNP1	PBM	PBM13596
CSRNP1	PBM	PBM13611
CSRNP1	PBM	PBM13612
CSRNP1	CHS	THC_0827
CSRNP1	SMS	UT380-043
CSRNP1	SMS	UT380-044
CSRNP1	HTS-IVT	YWE_A_CC40NCCAATA
CSRNP1	HTS-IVT	YWJ_A_AA40NCCAGTG
CSRNP1	HTS-LYS	YWL_A_TA40NGCTGTA
CSRNP1	AFS-LYS	YWL_B_AffSeq_G6_CSRNP1
CSRNP1	HTS-GFPIVT	YWM_A_CA40NGCCTTT
CSRNP1	HTS-GFPIVT	YWM_A_CT40NTTGCGC
CSRNP2	PBM	PBM13597
CSRNP2	PBM	PBM13598
CSRNP2	PBM	PBM13613
CSRNP2	PBM	PBM13614
CSRNP2	CHS	THC_0636
CSRNP2	CHS	THC_0732
CSRNP2	SMS	UT380-045
CSRNP2	SMS	UT380-046
CSRNP2	HTS-IVT	YWJ_A_AG40NGCTCTG
CSRNP2	HTS-IVT	YWJ_A_CA40NCTTTGA
CSRNP2	HTS-GFPIVT	YWM_A_GC40NTATAGG
CSRNP2	HTS-GFPIVT	YWM_A_GT40NGTTCTC
CSRNP2	HTS-LYS	YWN_A_AG40NACCATA
CSRNP2	AFS-LYS	YWN_B_AffSeq_B2_CSRNP2
CSRNP2	HTS-LYS	YWO_A_AG40NACCATA
CSRNP2	AFS-LYS	YWO_B_AffSeq_B2_CSRNP2
CSRNP3	PBM	PBM13599
CSRNP3	PBM	PBM13615
CSRNP3	CHS	THC_0828
CSRNP3	SMS	UT380-047
CSRNP3	HTS-IVT	YWJ_A_CT40NTCTAGT
CSRNP3	CHS	THC_0541
CSRNP3	HTS-GFPIVT	YWM_A_TA40NGCTGTA
CSRNP3	HTS-GFPIVT	YWM_A_TG40NTGTGTT
CSRNP3	HTS-LYS	YWN_A_CG40NACGGTT
CSRNP3	AFS-LYS	YWN_B_AffSeq_D2_CSRNP3
CSRNP3	HTS-LYS	YWO_A_CG40NACGGTT
CSRNP3	AFS-LYS	YWO_B_AffSeq_D2_CSRNP3
CTCF	PBM	PBM14435
CTCF	PBM	PBM14451
CTCF	HTS-LYS	YWG_A_AG40NGGAATC
CTCF	SMS	SRR3405078
CTCF	CHS	THC_0201
CTCF	CHS	THC_0209
CTCF	CHS	THC_0313.Rep-DIANA_0293
CTCF	CHS	THC_0313.Rep-MICHELLE_0314
CTCF	CHS	THC_0456.Rep-DIANA_0293
CTCF	CHS	THC_0456.Rep-MICHELLE_0314
CTCF	CHS	THC_0575
CTCF	CHS	THC_0744
CTCF	CHS	THC_0865
CTCF	CHS	THC_0867
CTCF	HTS-IVT	YWE_A_TT40NCTCGTC
CTCF	HTS-LYS	YWG_A_AT40NAGCCTC
CTCF	HTS-IVT	YWI_A_TT40NCTCGTC
CTCF	AFS-IVT	YWI_B_HT-SELEX_H12_CTCF
CTCF	HTS-LYS	YWK_A_TC40NTTCCGG
CTCF	AFS-LYS	YWK_B_AffSeq_G9_CTCF
CTCF	HTS-LYS	YWK_C_TC40NTTCCGG
CTCF	AFS-LYS	YWK_D_AffSeq_G9_CTCF
CTCF	HTS-LYS	YWL_A_TG40NCTGTGG
CTCF	AFS-LYS	YWL_B_AffSeq_H8_CTCF
CTCF	HTS-LYS	YWN_A_AA40NCCAGTG
CTCF	AFS-LYS	YWN_B_AffSeq_A5_CTCF
CTCF	HTS-LYS	YWO_A_AA40NCCAGTG
CTCF	AFS-LYS	YWO_B_AffSeq_A5_CTCF
CXXC4	PBM	PBM13570
CXXC4	PBM	PBM13586
CXXC4	PBM	PBM13920
CXXC4	PBM	PBM13936
CXXC4	CHS	THC_0235
CXXC4	CHS	THC_0243
CXXC4	SMS	UT380-049
CXXC4	HTS-IVT	YWC_B_AA40NGTGGTC
CXXC4	HTS-IVT	YWC_B_TG40NTGATCT
CXXC4	HTS-LYS	YWK_A_GG40NTAGTTT
CXXC4	AFS-LYS	YWK_B_AffSeq_F3_CXXC4
CXXC4	HTS-LYS	YWK_C_GG40NTAGTTT
CXXC4	AFS-LYS	YWK_D_AffSeq_F3_CXXC4
CXXC4	HTS-GFPIVT	YWM_A_AC40NGTATGA
CXXC4	AFS-GFPIVT	YWM_B_AffSeq_A7_CXXC4-FL
DACH1	PBM	PBM13600
DACH1	SMS	UT380-050
DACH1	HTS-IVT	YWF_A_CC40NCCAATA
DACH1	AFS-GFPIVT	YWM_B_AffSeq_C7_DACH1-DBD
DACH1	HTS-LYS	YWN_A_TG40NTGTGTT
DACH1	PBM	PBM13616
DACH1	SMS	UT380-051
DACH1	HTS-GFPIVT	YWM_A_AT40NGAGAGG
DACH1	HTS-GFPIVT	YWM_A_CC40NTGAGTA
DACH1	HTS-GFPIVT	YWM_A_CT40NGCGCTA
DACH1	AFS-GFPIVT	YWM_B_AffSeq_D7_DACH1-FL
DACH1	AFS-LYS	YWN_B_AffSeq_H6_DACH1-FL
DACH1	HTS-LYS	YWO_A_TG40NTGTGTT
DACH1	AFS-LYS	YWO_B_AffSeq_H6_DACH1-FL
DACH2	SMS	UT380-053
DACH2	SMS	UT380-053-2
DACH2	AFS-IVT	YWJ_B_AffSeq_F05_DACH2_DBD
DACH2	AFS-GFPIVT	YWM_B_AffSeq_E7_DACH2-DBD
DACH2	CHS	THC_0542
DACH2	PBM	PBM13601
DACH2	PBM	PBM13602
DACH2	PBM	PBM13617
DACH2	PBM	PBM13618
DACH2	SMS	UT380-054
DACH2	HTS-IVT	YWJ_A_GA40NACTTTG
DACH2	HTS-IVT	YWJ_A_GT40NGGCATT
DACH2	HTS-GFPIVT	YWM_A_GC40NTCTCTT
DACH2	HTS-GFPIVT	YWM_A_GT40NTGTGGA
DACH2	AFS-GFPIVT	YWM_B_AffSeq_F7_DACH2-FL
DACH2	HTS-LYS	YWN_A_GT40NGTTCTC
DACH2	AFS-LYS	YWN_B_AffSeq_F6_DACH2-FL
DACH2	HTS-LYS	YWO_A_GT40NGTTCTC
DACH2	AFS-LYS	YWO_B_AffSeq_F6_DACH2-FL
DMRTB1	PBM	PBM13593
DMRTB1	PBM	PBM13594
DMRTB1	PBM	PBM13609
DMRTB1	PBM	PBM13610
DMRTB1	CHS	THC_0327.Rep-DIANA_0293
DMRTB1	CHS	THC_0327.Rep-MICHELLE_0314
DMRTB1	CHS	THC_0382.Rep-DIANA_0293
DMRTB1	CHS	THC_0382.Rep-MICHELLE_0314
DMRTB1	SMS	UT380-055
DMRTB1	SMS	UT380-055-2
DMRTB1	HTS-IVT	YWC_B_GA40NGAGCTG
DMRTB1	HTS-IVT	YWC_B_GT40NACGATC
DMRTB1	HTS-LYS	YWD_A_CA40NGCCTTT
DMRTB1	AFS-LYS	YWD_B_AffSeq_C06_DMRTB1
DMRTB1	HTS-GFPIVT	YWM_A_TC40NTGCATA
DMRTB1	AFS-GFPIVT	YWM_B_AffSeq_G7_DMRTB1-FL
DMTF1	SMS	UT380-056-1
DMTF1	PBM	PBM13662
DMTF1	PBM	PBM13678
DMTF1	CHS	THC_0709
DMTF1	CHS	THC_0805
DMTF1	SMS	UT380-056-2
DMTF1	SMS	UT380-057
DMTF1	HTS-IVT	YWC_B_CA40NGCCTTT
DMTF1	HTS-LYS	YWL_A_AC40NTCCTTG
DMTF1	AFS-LYS	YWL_B_AffSeq_A12_DMTF1
DMTF1	HTS-GFPIVT	YWM_A_AC40NGTTCGA
DMTF1	HTS-GFPIVT	YWM_A_TG40NTCTTGC
DMTF1	AFS-GFPIVT	YWM_B_AffSeq_A8_DMTF1-FL
DNTTIP1	HTS-LYS	YWD_A_CA40NTCGATG
DNTTIP1	HTS-LYS	YWG_A_AC40NGTATGA
DNTTIP1	HTS-IVT	YWH_A_CG40NGTTATT
DNTTIP1	HTS-IVT	YWH_A_GA40NCTGATT
DNTTIP1	AFS-IVT	YWH_B_AffSeq_E01_DNTTIP1_DBD
DNTTIP1	CHS	THC_0087
DNTTIP1	CHS	THC_0152
DNTTIP1	HTS-LYS	YWD_A_GG40NTAGTTT
DNTTIP1	AFS-LYS	YWD_B_AffSeq_F03_DNTTIP1
DNTTIP1	HTS-GFPIVT	YWM_A_AT40NTCCCGA
DNTTIP1	PBM	PBM13561
DNTTIP1	PBM	PBM13562
DNTTIP1	PBM	PBM13577
DNTTIP1	PBM	PBM13578
DNTTIP1	AFS-LYS	YWD_B_AffSeq_C01_ZNF428
DNTTIP1	HTS-LYS	YWG_A_AA40NTATCGC
DNTTIP1	AFS-GFPIVT	YWM_B_AffSeq_B8_DNTTIP1-FL
DOT1L	CHS	THC_0658
DOT1L	CHS	THC_0754
DOT1L	HTS-LYS	YWN_A_TA40NCGTCGG
DOT1L	AFS-LYS	YWN_B_AffSeq_G1_DOT1L
DOT1L	HTS-LYS	YWO_A_TA40NCGTCGG
DOT1L	AFS-LYS	YWO_B_AffSeq_G1_DOT1L
DR1	CHS	THC_0638
DR1	HTS-GFPIVT	YWM_A_CC40NCCAATA
DR1	HTS-LYS	YWN_A_TA40NGCTGTA
DR1	HTS-LYS	YWO_A_TA40NGCTGTA
