Index	Plasmid Number	Plasmid backbone	Plasmid Name	Insert Name	Gene Name	Notes	PBM_ME experiment ID(s)	PBM_HK experiment ID(s)	Plasmid Number	HT-Selex (IVT) experiment ID(s)	HT-Selex (Lysate) experiment ID(s)	AffiSeq (IVT) experiment ID(s)	AffiSeq (Lysate) experiment ID(s)	SMiLE-seq experiment ID(s)	ChIP-seq replicate 1	ChIP-seq replicate 2	
355	pTH13931	pTH6838	GST.ZBED4.DBD	ZBED4.DBD	ZBED4	Codebook clone	13826	13975, 13842	pTH13931	YWC_091					#N/A		
359	pTH13935	pTH6838	GST.NCOA1.DBD	NCOA1.DBD	NCOA1	Codebook clone	13827	13843	pTH13935	#N/A					#N/A		
360	pTH13936	pTH6838	GST.NCOA2.DBD	NCOA2.DBD	NCOA2	Codebook clone	13828	13844	pTH13936	#N/A					#N/A		
361	pTH13937	pTH6838	GST.NCOA3.DBD	NCOA3.DBD	NCOA3	Codebook clone	13829	13845	pTH13937	#N/A					#N/A		
362	pTH13938	pTH6838	GST.SOHLH1.FL	SOHLH1.FL	SOHLH1	Codebook clone	13830	13846	pTH13938	#N/A					#N/A		
363	pTH13939	pTH6838	GST.SOHLH1.DBD	SOHLH1.DBD	SOHLH1	Codebook clone	13831	13847	pTH13939	#N/A					#N/A		
364	pTH13940	pTH6838	GST.USF3.DBD	USF3.DBD	USF3	Codebook clone	13832	13848	pTH13940	YWC_108					#N/A		
673	pTH14249	pTH6838	GST.ZHX2.DBD.1	ZHX2.DBD.1	ZHX2	Codebook clone	13849	13865	pTH14249	#N/A					#N/A		
674	pTH14250	pTH6838	GST.ZHX2.DBD.2	ZHX2.DBD.2	ZHX2	Codebook clone	13850	13866	pTH14250	#N/A					#N/A		
675	pTH14251	pTH6838	GST.ZHX3.DBD.1	ZHX3.DBD.1	ZHX3	Codebook clone	13851	13867	pTH14251	#N/A					#N/A		
676	pTH14252	pTH6838	GST.ZHX3.DBD.2	ZHX3.DBD.2	ZHX3	Codebook clone	13852	13868	pTH14252	#N/A					#N/A		
677	pTH14253	pTH6838	GST.POU5F2.FL	POU5F2.FL	POU5F2	Codebook clone	13853	13869	pTH14253	#N/A					#N/A		
678	pTH14254	pTH6838	GST.HSFX1.FL	HSFX1.FL	HSFX1	Codebook clone	13854	13870	pTH14254	#N/A					#N/A		
682	pTH14258	pTH6838	GST.MSANTD1.FL	MSANTD1.FL	MSANTD1	Codebook clone	13855	13871	pTH14258	#N/A					#N/A		
684	pTH14260	pTH6838	GST.MBD3.FL	MBD3.FL	MBD3	Codebook clone	13856	13872	pTH14260	#N/A					#N/A		
686	pTH14262	pTH6838	GST.MBD4.DBD	MBD4.DBD	MBD4	Codebook clone	13857	13873	pTH14262	#N/A					#N/A		
687	pTH14263	pTH6838	GST.MBD6.DBD	MBD6.DBD	MBD6	Codebook clone	13858	13874	pTH14263	#N/A					#N/A		
