ChIP experiment uinque ID	Plasmid ID	Gene ID	Sample ID	Submitted sample label	ChIP/INPUT	Replicate #	Comments	Data File ID	Sequencing Facility	Batch #
THC_0146	pTH13796	TIGD3	pTH13796.1.2	RR_PE0128_TIGD3_ChIP_2	ChIP	2		Plate_2_H4_S128_R1_001.fastq.gz	DSC	2
THC_0147	pTH13651	ZBTB8A	pTH13651.1.2	RR_PE0130_ZBTB8A_ChIP_2	ChIP	2		Plate_2_B5_S130_R1_001.fastq.gz	DSC	2
THC_0148	pTH13593	GLYR1	pTH13593.1.1	RR_PE0131_GLYR1_ChIP_1	ChIP	1		Plate_2_C5_S131_R1_001.fastq.gz	DSC	2
THC_0149	pTH13646	ZBTB40	pTH13646.1.2	RR_PE0134_ZBTB40_ChIP_2	ChIP	2		Plate_2_F5_S134_R2_001.fastq.gz	DSC	2
THC_0150	pTH13901	TBPL1	pTH13901.1.2	RR_PE0135_TBPL1_ChIP_2	ChIP	2		Plate_2_G5_S135_R1_001.fastq.gz	DSC	2
THC_0151	pTH13893	THYN1	pTH13893.1.1	RR_PE0136_THYN1_ChIP_1	ChIP	1		Plate_2_H5_S136_R2_001.fastq.gz	DSC	2
THC_0152	pTH13592	DNTTIP1	pTH13592.1.1	RR_PE0139_DNMTTIP1_ChIP_1	ChIP	1		Plate_2_C6_S139_R1_001.fastq.gz	DSC	2
THC_0153	pTH16503	ZSCAN4	pTH16503.1.2	RR_PE0140_ZSCAN4_ChIP_2	ChIP	2		Plate_2_D6_S140_R1_001.fastq.gz	DSC	2
THC_0154	pTH13883	SAFB2	pTH13883.1.1	RR_PE0141_SAFB2_ChIP_3	ChIP	1		Plate_2_E6_S141_R1_001.fastq.gz	DSC	2
THC_0155	pTH13647	ZBTB41	pTH13647.1.2	RR_PE0143_ZBTB41_ChIP_2	ChIP	2		Plate_2_G6_S143_R1_001.fastq.gz	DSC	2
THC_0156	pTH13903	THAP11	pTH13903.1.1	RR_PE0145_THAP11_ChIP_1	ChIP	1		Plate_2_A7_S145_R1_001.fastq.gz	DSC	2
THC_0157	pTH13896	RFX8	pTH13896.1.1	RR_PE0146_RFX8_ChIP_1	CHIP 	1		Plate_2_B7_S146_R2_001.fastq.gz	DSC	2
